split,label,precision,recall,f1,support
heur_len,campoPetrolifero,0.0,0.0,0.0,2
heur_len,constituinteRochaSedimentar,0.8636363636363636,0.8636363636363636,0.8636363636363636,22
heur_len,contextoGeologicoDeBacia,0.7549668874172185,0.8444444444444444,0.7972027972027972,135
heur_len,elementoQuimico,1.0,1.0,1.0,1
heur_len,eon,0.9818181818181818,0.9642857142857143,0.972972972972973,56
heur_len,epoca,0.9030303030303031,0.9802631578947368,0.9400630914826498,152
heur_len,era,0.9397590361445783,0.9873417721518988,0.962962962962963,79
heur_len,estratigrafia,0.8723404255319149,0.9111111111111111,0.891304347826087,45
heur_len,estruturaGeologica,0.8,0.5714285714285714,0.6666666666666666,14
heur_len,estruturaSedimentar,0.631578947368421,0.75,0.6857142857142857,16
heur_len,fosseis,0.5806451612903226,0.6428571428571429,0.6101694915254238,28
heur_len,geomorfologia,0.75,1.0,0.8571428571428571,6
heur_len,granulometria,0.7419354838709677,0.7666666666666667,0.7540983606557377,30
heur_len,idade,0.8858695652173914,0.9878787878787879,0.9340974212034384,165
heur_len,magmaticas,0.8620689655172413,0.9259259259259259,0.8928571428571429,108
heur_len,metamorficas,0.8,0.8095238095238095,0.8047337278106509,84
heur_len,mineral,0.8979591836734694,0.9565217391304348,0.9263157894736843,46
heur_len,periodo,0.8646616541353384,0.9504132231404959,0.9055118110236221,121
heur_len,planctonico,0.8571428571428571,0.972972972972973,0.9113924050632912,37
heur_len,procedimentoMetodologico,0.9393939393939394,0.96875,0.9538461538461539,32
heur_len,sedimentaresCarbonaticas,0.8115942028985508,0.8235294117647058,0.8175182481751825,68
heur_len,sedimentaresOrganicas,1.0,1.0,1.0,3
heur_len,sedimentaresQuimicas,0.0,0.0,0.0,1
heur_len,sedimentaresSiliciclasticas,0.8378378378378378,0.8815165876777251,0.859122401847575,211
heur_len,sistemaPetrolifero,0.8918918918918919,0.9428571428571428,0.9166666666666667,35
heur_len,unidadeEstratigrafica,0.81875,0.8733333333333333,0.8451612903225806,150
heur_len,unidadeGeotectonica,0.25,0.16666666666666666,0.2,6
heur_rare,ambienteSedimentacao,0.6451612903225806,0.6451612903225806,0.6451612903225806,31
heur_rare,baciaSedimentar,0.828125,0.8983050847457628,0.8617886178861789,118
heur_rare,bentonico,0.5,0.5,0.5,2
heur_rare,campoPetrolifero,0.0,0.0,0.0,1
heur_rare,constituinteRochaSedimentar,0.8125,0.7222222222222222,0.7647058823529411,36
heur_rare,contextoGeologicoDeBacia,0.6492146596858639,0.8104575163398693,0.7209302325581396,153
heur_rare,elementoQuimico,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
heur_rare,eon,0.8809523809523809,0.8809523809523809,0.8809523809523809,42
heur_rare,epoca,0.9078947368421053,0.9787234042553191,0.9419795221843004,141
heur_rare,era,0.9135802469135802,0.9866666666666667,0.9487179487179487,75
heur_rare,estratigrafia,0.7307692307692307,0.8085106382978723,0.7676767676767676,47
heur_rare,estruturaGeologica,0.38095238095238093,0.5714285714285714,0.4571428571428571,14
heur_rare,estruturaSedimentar,0.75,0.6923076923076923,0.7199999999999999,26
heur_rare,fosseis,0.7894736842105263,0.6,0.6818181818181819,25
heur_rare,geomorfologia,1.0,0.6666666666666666,0.8,12
